```jsonl
{"family":"monumento","entity_id":"monumento_1","start_s":5.0,"end_s":9.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":340.0,"end_s":345.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":345.0,"end_s":349.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":345.0,"end_s":349.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":349.0,"end_s":355.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior (split screen)"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_4","start_s":349.0,"end_s":355.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's office interior (split screen)"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":349.0,"end_s":355.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_2","start_s":349.0,"end_s":355.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":355.0,"end_s":359.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior (split screen)"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_4","start_s":355.0,"end_s":359.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's office interior (split screen)"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":355.0,"end_s":359.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_2","start_s":355.0,"end_s":359.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":359.0,"end_s":364.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior (split screen)"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_4","start_s":359.0,"end_s":364.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's office interior (split screen)"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":359.0,"end_s":364.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_2","start_s":359.0,"end_s":364.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":364.0,"end_s":368.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":364.0,"end_s":368.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":368.0,"end_s":373.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_1","start_s":368.0,"end_s":373.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_4","start_s":373.0,"end_s":378.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's office interior"}
{"family":"pantalla_con_contenido","entity_id":"pantalla_con_contenido_2","start_s":373.0,"end_s":378.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Alfie's phone screen with text message"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":378.0,"end_s":380.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"packaging","entity_id":"packaging_4","start_s":378.0,"end_s":380.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's water bottle"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":380.0,"end_s":382.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"packaging","entity_id":"packaging_4","start_s":380.0,"end_s":382.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's water bottle"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_3","start_s":382.0,"end_s":384.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Emily's office interior"}
{"family":"packaging","entity_id":"packaging_4","start_s":382.0,"end_s":384.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's water bottle"}
{"family":"calle","entity_id":"calle_2","start_s":384.0,"end_s":388.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Aerial view of Parisian streets"}
{"family":"edificio","entity_id":"edificio_4","start_s":384.0,"end_s":388.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Aerial view of Parisian buildings"}
{"family":"puente","entity_id":"puente_2","start_s":384.0,"end_s":388.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Multiple bridges over Seine"}
{"family":"monumento","entity_id":"monumento_1","start_s":384.0,"end_s":388.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible in background"}
{"family":"puente","entity_id":"puente_1","start_s":388.0,"end_s":390.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Pont de Bir-Hakeim with metro"}
{"family":"monumento","entity_id":"monumento_1","start_s":388.0,"end_s":390.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible in background"}
{"family":"calle","entity_id":"calle_1","start_s":390.0,"end_s":392.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street outside Tiffany & Co."}
{"family":"edificio","entity_id":"edificio_3","start_s":390.0,"end_s":392.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. building exterior"}
{"family":"logo_marca","entity_id":"logo_marca_10","start_s":390.0,"end_s":392.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'TIFFANY & CO.' sign on building"}
{"family":"escaparate","entity_id":"escaparate_2","start_s":390.0,"end_s":392.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. window display"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_5","start_s":392.0,"end_s":396.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. interior entrance"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_5","start_s":396.0,"end_s":400.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. interior staircase"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_5","start_s":400.0,"end_s":404.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. interior staircase chandelier"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_5","start_s":404.0,"end_s":408.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. interior showroom"}
{"family":"artwork","entity_id":"artwork_2","start_s":404.0,"end_s":408.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Paintings on wall in Tiffany & Co."}
{"family":"interior_reconocible","entity_id":"interior_reconocible_5","start_s":408.0,"end_s":410.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Tiffany & Co. interior showroom"}
{"family":"artwork","entity_id":"artwork_2","start_s":408.0,"end_s":410.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Paintings on wall in Tiffany & Co."}
{"summary":"monumento","distinct_count":2,"note":"Eiffel Tower and Pantheon"}
{"summary":"iglesia","distinct_count":1,"note":"Sacré-Cœur Basilica"}
{"summary":"calle","distinct_count":2,"note":"Ground level Parisian street and aerial Parisian streets"}
{"summary":"edificio","distinct_count":4,"note":"General Parisian buildings, Galerie Patrick Fourtin, aerial Parisian buildings, Tiffany & Co. building"}
{"summary":"escaparate","distinct_count":2,"note":"Flower shop facade and Tiffany & Co. window display"}
{"summary":"logo_marca","distinct_count":10,"note":"Multiple brands visible on signs and products"}
{"summary":"packaging","distinct_count":4,"note":"Flower wraps, baby car seat, gift box, water bottle"}
{"summary":"puente","distinct_count":2,"note":"Pont de Bir-Hakeim and other bridges in aerial view"}
{"summary":"interior_reconocible","distinct_count":5,"note":"Madeline's office, Sylvie's office, Emily's office, Alfie's office, Tiffany & Co. interior"}
{"summary":"artwork","distinct_count":2,"note":"Painting in Madeline's office and paintings in Tiffany & Co."}
{"summary":"identificador_personal","distinct_count":1,"note":"Baby Jack"}
{"summary":"pantalla_con_contenido","distinct_count":2,"note":"Emily's phone screen and Alfie's phone screen"}
```
